Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Distance
20.0,4.6337736972250205,Cloudy,Jam,2,scooter,1.0,0,Metropolitian,28,4.686935349116757
32.0,4.3,Stormy,Medium,1,motorcycle,0.0,0,Metropolitian,32,10.918307706002452
29.566910587697237,4.6337736972250205,Cloudy,Jam,1,motorcycle,0.0,0,Metropolitian,32,9.089906786911904
39.0,4.5,Sandstorms,Low,2,motorcycle,0.0,0,Metropolitian,22,4.469751731334369
28.0,4.6,Cloudy,Low,1,motorcycle,1.0,0,Urban,10,4.615687434539652
36.0,4.5,Fog,Low,1,scooter,1.0,0,Metropolitian,19,3.022416367416854
21.0,4.9,Cloudy,Jam,0,motorcycle,1.0,0,Metropolitian,35,10.497388840232707
23.0,4.6,Windy,Jam,0,motorcycle,1.0,0,Metropolitian,30,16.739802452617162
25.0,4.7,Stormy,Jam,0,motorcycle,1.0,0,Metropolitian,37,11.996823724849866
27.0,4.7,Cloudy,Low,1,motorcycle,1.0,0,Metropolitian,23,13.697077379899609
22.0,4.7,Windy,High,0,motorcycle,0.0,0,Metropolitian,29,3.067004687083593
34.0,4.6,Windy,Medium,1,motorcycle,1.0,0,Metropolitian,25,9.44556826333905
24.0,4.8,Stormy,Low,2,scooter,0.0,0,Urban,11,16.653796099343378
32.0,5.0,Fog,Medium,1,motorcycle,1.0,0,Metropolitian,39,19.93831528815416
30.0,4.4,Stormy,Jam,1,motorcycle,2.0,0,Urban,39,13.80363055073349
26.0,4.6,Sunny,Medium,2,scooter,1.0,0,Metropolitian,18,10.879367187304355
30.0,4.8,Cloudy,Medium,2,motorcycle,1.0,0,Metropolitian,33,20.20280815536319
31.0,4.8,Sunny,Medium,0,motorcycle,1.0,0,Metropolitian,24,7.770014004731675
31.0,4.8,Fog,Low,1,scooter,1.0,0,Metropolitian,18,1.4917911555283865
39.0,4.8,Cloudy,High,2,scooter,1.0,0,Metropolitian,39,1.5742615170912184
38.0,4.7,Sunny,High,2,scooter,1.0,0,Urban,18,3.062804836837459
30.0,4.9,Cloudy,Jam,1,scooter,1.0,0,Metropolitian,30,4.474531775908321
28.0,4.5,Fog,High,2,scooter,1.0,0,Metropolitian,21,6.153387128227282
30.0,4.9,Fog,Medium,2,scooter,0.0,0,Urban,16,9.13107136491047
37.0,4.1,Sandstorms,High,2,scooter,0.0,0,Metropolitian,32,6.217770886717035
36.0,4.7,Windy,Low,2,scooter,1.0,0,Metropolitian,21,20.228622316602
20.0,4.9,Cloudy,Jam,0,motorcycle,2.0,0,Metropolitian,42,12.449201456460726
34.0,4.6,Cloudy,Medium,2,scooter,0.0,0,Urban,17,7.581757070771736
26.0,4.7,Stormy,Low,2,scooter,1.0,0,Semi-Urban,17,20.30831477502104
38.0,3.5,Windy,Jam,2,electric_scooter,0.0,0,Urban,41,20.886548523413403
33.0,4.7,Fog,Low,2,scooter,1.0,0,Metropolitian,30,19.681393391793986
37.0,5.0,Windy,Low,0,motorcycle,1.0,0,Urban,28,19.637479544635603
31.0,4.6,Fog,Low,2,motorcycle,1.0,0,Metropolitian,16,4.662697005613694
29.0,4.6,Fog,Jam,2,scooter,0.0,0,Metropolitian,26,4.679310178365736
20.0,4.1,Stormy,Medium,0,motorcycle,1.0,0,Urban,35,20.228517674512187
36.0,5.0,Sunny,Jam,1,motorcycle,0.0,0,Metropolitian,17,20.465390994413752
34.0,4.5,Cloudy,Medium,0,motorcycle,1.0,0,Metropolitian,26,9.32598058202598
28.0,4.6,Fog,High,0,motorcycle,0.0,0,Metropolitian,21,3.1248077908393377
31.0,4.4,Sandstorms,Jam,1,motorcycle,1.0,0,Metropolitian,36,10.87702196887989
25.0,5.0,Stormy,High,2,motorcycle,1.0,0,Metropolitian,29,3.1123184694359765
22.0,4.6,Sunny,Medium,1,motorcycle,0.0,0,Urban,13,17.09238423448046
23.0,4.8,Sunny,Low,0,motorcycle,0.0,0,Metropolitian,19,1.5456587799405328
37.0,5.0,Sandstorms,High,2,scooter,1.0,0,Urban,28,6.088278975025204
34.0,4.2,Windy,Low,0,motorcycle,1.0,0,Metropolitian,25,3.076774127189112
36.0,4.8,Sunny,Medium,2,electric_scooter,0.0,0,Metropolitian,15,13.421823449374948
36.0,5.0,Sandstorms,Jam,2,motorcycle,0.0,0,Metropolitian,32,4.595692000763754
22.0,4.6,Cloudy,Low,1,motorcycle,1.0,0,Metropolitian,20,12.27039478314862
28.0,4.5,Sandstorms,Low,0,motorcycle,1.0,0,Metropolitian,22,19.998043627549205
28.0,4.6,Stormy,Medium,2,electric_scooter,1.0,0,Urban,25,6.088069285262078
50.0,6.0,Sunny,Low,3,scooter,1.0,0,Metropolitian,15,18113.059332456676
28.0,4.6,Sandstorms,Medium,1,scooter,0.0,0,Metropolitian,19,16.403048544651888
38.0,4.8,Windy,Low,2,motorcycle,1.0,0,Urban,24,3.0673694643057434
34.0,4.6,Fog,Jam,0,motorcycle,1.0,0,Urban,30,9.33636073895775
38.0,4.9,Windy,Low,0,motorcycle,1.0,0,Metropolitian,25,13.78887125676522
21.0,4.0,Stormy,Jam,0,motorcycle,1.0,0,Metropolitian,32,16.430779952003373
28.0,4.6,Stormy,Low,2,motorcycle,0.0,0,Metropolitian,11,1.559848951894371
25.0,4.9,Sandstorms,Medium,1,scooter,1.0,0,Metropolitian,29,6.297045828591113
39.0,4.6,Sunny,Low,2,motorcycle,1.0,0,Metropolitian,16,20.22878305980567
36.0,3.5,Stormy,Jam,2,scooter,2.0,0,Urban,41,20.465390994413752
23.0,4.8,Sunny,Low,2,scooter,1.0,0,Urban,16,4.566125015004469
29.566910587697237,4.6337736972250205,Sunny,Low,3,scooter,1.0,0,Metropolitian,29,4.474531775908321
20.0,4.2,Windy,Jam,0,motorcycle,0.0,0,Metropolitian,35,13.6038163390936
29.566910587697237,4.6337736972250205,Sunny,Low,3,electric_scooter,0.0,0,Metropolitian,29,6.297045828591113
39.0,4.6,Stormy,Low,0,motorcycle,1.0,0,Metropolitian,27,19.6930468850258
31.0,4.6,Fog,Medium,0,motorcycle,1.0,0,Metropolitian,46,16.870253552767483
36.0,5.0,Fog,Low,2,scooter,1.0,0,Urban,16,9.35867488110764
38.0,4.6,Sunny,Medium,1,motorcycle,1.0,0,Metropolitian,22,9.08531584264882
29.0,5.0,Windy,High,0,motorcycle,1.0,0,Metropolitian,22,3.0769955409745173
34.0,4.9,Sunny,Jam,2,electric_scooter,0.7446345675136238,0,Metropolitian,15,4.474222582758414
32.0,4.8,Fog,Low,1,scooter,0.0,0,Metropolitian,15,3.1485230102050625
33.0,4.8,Cloudy,Low,1,scooter,1.0,0,Urban,19,1.5108890261355383
28.0,4.7,Sandstorms,Low,1,scooter,1.0,0,Metropolitian,17,13.443627062147552
33.0,4.9,Cloudy,Low,1,scooter,1.0,0,Metropolitian,27,19.90188351015608
29.0,5.0,Cloudy,Low,2,scooter,1.0,0,Urban,24,13.98598215456119
20.0,4.6,Fog,Medium,0,motorcycle,0.0,0,Metropolitian,29,4.662743033631513
29.0,4.8,Sunny,Low,1,scooter,0.7446345675136238,0,Metropolitian,23,3.108102382565342
22.0,4.8,Stormy,Medium,1,scooter,1.0,0,Urban,15,13.421764359805133
32.0,4.2,Fog,Jam,0,motorcycle,1.0,0,Metropolitian,32,7.456744763376824
39.0,4.0,Cloudy,Jam,0,motorcycle,1.0,0,Metropolitian,33,7.570387994118644
20.0,4.6,Windy,Jam,0,motorcycle,0.0,0,Metropolitian,38,11.019829276905222
27.0,4.6,Sunny,Jam,0,motorcycle,0.0,0,Metropolitian,15,10.736301082567438
35.0,4.9,Sandstorms,Low,2,electric_scooter,1.0,0,Metropolitian,22,1.5143761477214626
33.0,5.0,Stormy,Medium,1,scooter,1.0,0,Metropolitian,27,10.576595796842636
30.0,4.7,Fog,Low,2,motorcycle,0.0,0,Urban,16,7.571292150463859
21.0,4.6,Sunny,High,1,motorcycle,0.0,0,Metropolitian,19,3.108460797546783
26.0,4.5,Windy,Jam,1,motorcycle,1.0,0,Metropolitian,17,12.2508250326597
26.0,4.1,Fog,Jam,2,motorcycle,1.0,0,Metropolitian,36,13.443231609786016
29.566910587697237,4.6337736972250205,Sandstorms,Low,2,motorcycle,1.0,0,Metropolitian,25,4.668311380017864
25.0,4.8,Cloudy,Medium,2,motorcycle,1.0,0,Metropolitian,16,7.33360754870007
38.0,4.2,Stormy,Medium,0,motorcycle,1.0,0,Metropolitian,39,6.087820838812776
38.0,4.7,Windy,Jam,1,motorcycle,1.0,0,Metropolitian,33,7.780747010318789
21.0,4.6,Sandstorms,Low,1,scooter,1.0,0,Metropolitian,17,3.0328557149109203
29.566910587697237,4.6337736972250205,Windy,Jam,0,motorcycle,1.0,0,Metropolitian,24,8.799798649600936
22.0,4.7,Sunny,Medium,1,motorcycle,1.0,0,Urban,14,16.654795971812995
30.0,4.6,Cloudy,Jam,2,electric_scooter,2.0,0,Metropolitian,38,7.609418053077251
37.0,5.0,Stormy,Low,2,scooter,0.0,0,Metropolitian,29,3.119564574333133
24.0,4.6,Fog,Medium,2,scooter,0.0,0,Metropolitian,17,6.224834245796797
27.0,4.9,Sunny,Jam,1,motorcycle,0.0,0,Urban,19,4.5329722526763065
38.0,4.8,Sunny,Medium,1,scooter,1.0,0,Metropolitian,23,19.997234281637933
34.0,4.4,Stormy,Jam,2,scooter,1.0,0,Urban,31,7.771473502443185
38.0,4.8,Stormy,Medium,1,motorcycle,1.0,0,Metropolitian,28,9.358383514052909
38.0,3.9,Sandstorms,Jam,1,motorcycle,2.0,0,Metropolitian,34,12.448866986766973
22.0,4.8,Sandstorms,Jam,1,motorcycle,1.0,0,Metropolitian,27,20.27522036537947
23.0,4.9,Sandstorms,Jam,1,scooter,0.0,0,Metropolitian,23,20.277357799518665
24.0,4.8,Sunny,Low,0,motorcycle,0.0,0,Urban,16,1.5742615170912184
35.0,4.8,Fog,Low,1,motorcycle,1.0,0,Metropolitian,16,9.1879395689871
21.0,4.8,Sandstorms,Low,2,motorcycle,0.0,0,Urban,13,3.112318759763208
26.0,4.1,Fog,Jam,2,scooter,1.0,0,Metropolitian,36,13.98748272336879
38.0,4.8,Fog,Low,2,electric_scooter,1.0,0,Semi-Urban,19,1.5221402510777855
32.0,4.9,Windy,Jam,2,motorcycle,1.0,0,Metropolitian,28,17.093640275894142
28.0,4.7,Fog,Medium,1,motorcycle,0.0,0,Urban,19,4.722784455364153
30.0,4.6,Sandstorms,Low,2,motorcycle,1.0,0,Urban,23,1.5143598563427436
39.0,4.6,Cloudy,Jam,2,motorcycle,1.0,1,Semi-Urban,47,16.836847746910916
21.0,4.9,Fog,High,0,motorcycle,0.7446345675136238,0,Metropolitian,20,1.5337060513227685
25.0,4.8,Windy,High,1,motorcycle,1.0,0,Metropolitian,28,5.975337745072423
29.566910587697237,4.6337736972250205,Fog,Medium,1,motorcycle,1.0,0,Metropolitian,16,4713.072052374087
22.0,4.7,Sandstorms,Medium,2,scooter,1.0,0,Metropolitian,21,4.6794773440039705
25.0,4.4,Fog,Jam,1,motorcycle,1.0,1,Metropolitian,44,13.804002296290085
25.0,4.6,Fog,Medium,2,electric_scooter,0.0,0,Metropolitian,10,9.23000856551376
37.0,4.4,Sandstorms,Medium,2,motorcycle,1.0,0,Metropolitian,39,20.275837568500005
33.0,4.9,Sunny,High,0,motorcycle,0.0,0,Metropolitian,26,3.044235202548048
33.0,4.2,Cloudy,Medium,1,scooter,2.0,0,Urban,42,12.270301544580406
33.0,4.7,Sunny,Low,1,scooter,0.0,0,Urban,12,7.770263428456373
32.0,4.6,Cloudy,Jam,1,scooter,1.0,0,Metropolitian,38,20.465390994413752
27.0,4.0,Stormy,Low,0,motorcycle,0.0,0,Metropolitian,18,1.5164096111387269
38.0,4.8,Fog,Jam,1,scooter,1.0,0,Metropolitian,30,7.871307105908543
30.0,4.6,Sunny,Low,2,scooter,1.0,0,Metropolitian,25,14.168350776534814
28.0,4.1,Cloudy,Jam,1,motorcycle,1.0,0,Metropolitian,32,11.761234238056137
30.0,4.9,Sunny,Medium,2,scooter,1.0,0,Metropolitian,22,19.7826102639145
23.0,4.6,Fog,Low,1,motorcycle,1.0,0,Metropolitian,14,3.1485230102050625
31.0,4.0,Stormy,Low,0,motorcycle,1.0,0,Metropolitian,23,1.53383822139502
20.0,4.8,Fog,Jam,1,scooter,1.0,0,Metropolitian,32,10.720769659967536
32.0,4.2,Fog,Jam,1,motorcycle,0.0,0,Metropolitian,39,4.533133956123478
21.0,4.8,Windy,Jam,1,motorcycle,0.0,0,Metropolitian,16,12.477582547274
34.0,4.8,Sunny,Medium,1,motorcycle,1.0,0,Metropolitian,27,10.65387833576585
20.0,4.5,Sandstorms,Jam,1,scooter,1.0,0,Urban,25,9.188690754043192
29.566910587697237,4.6337736972250205,Sunny,Low,0,motorcycle,1.0,0,Metropolitian,25,17141.887905987347
31.0,4.9,Sandstorms,Jam,0,motorcycle,1.0,0,Semi-Urban,46,7.692183277006516
20.0,4.8,Sandstorms,Low,1,motorcycle,0.0,0,Semi-Urban,14,20.203433554132552
29.0,4.6,Sunny,Low,0,motorcycle,1.0,0,Urban,28,16.92106718447319
23.0,3.8,Sunny,Jam,0,motorcycle,2.0,1,Metropolitian,41,7.771162894050891
39.0,4.5,Sunny,Low,1,scooter,1.0,0,Urban,24,19.93924312550351
27.0,4.6,Stormy,Low,2,electric_scooter,1.0,0,Metropolitian,17,1.5339721289800392
33.0,4.5,Sandstorms,Jam,1,scooter,1.0,0,Metropolitian,29,12.434890017395729
24.0,4.8,Stormy,Low,2,motorcycle,1.0,0,Metropolitian,11,3.10821509001011
21.0,4.3,Sandstorms,Jam,0,motorcycle,1.0,0,Urban,38,4.533139804401913
35.0,4.3,Sandstorms,High,0,motorcycle,1.0,0,Metropolitian,43,1.5742615170912184
32.0,4.6,Stormy,Medium,0,motorcycle,1.0,0,Metropolitian,30,14.060546397828723
26.0,4.2,Cloudy,Medium,2,electric_scooter,1.0,0,Metropolitian,35,13.695951695815468
23.0,4.9,Sandstorms,Jam,1,motorcycle,0.0,0,Metropolitian,25,19.78341921977176
38.0,4.7,Sunny,Medium,1,motorcycle,1.0,0,Urban,20,7.771690635650427
39.0,4.8,Windy,Low,1,scooter,1.0,0,Metropolitian,20,3.06272486489223
28.0,4.6,Fog,Low,1,motorcycle,0.0,0,Metropolitian,25,13.84590527934452
37.0,4.6,Sunny,Jam,1,motorcycle,0.0,0,Metropolitian,19,9.189624272385036
26.0,4.9,Cloudy,High,2,electric_scooter,1.0,0,Metropolitian,31,1.554278154467923
26.0,4.7,Cloudy,High,1,scooter,1.0,0,Metropolitian,33,6.154138058134447
28.0,4.7,Stormy,Jam,2,scooter,1.0,0,Metropolitian,18,9.065810127025976
23.0,4.8,Windy,Low,0,motorcycle,1.0,0,Metropolitian,18,20.27517687641353
29.0,4.3,Sandstorms,Low,0,motorcycle,0.0,0,Semi-Urban,27,3.06228547386522
38.0,4.7,Windy,Medium,1,motorcycle,1.0,0,Metropolitian,28,7.570723670281406
21.0,4.7,Cloudy,Medium,1,motorcycle,1.0,0,Metropolitian,16,6.056412447057391
20.0,4.8,Stormy,Jam,1,scooter,0.0,0,Metropolitian,25,13.6288082527404
25.0,4.9,Fog,Low,0,motorcycle,1.0,0,Metropolitian,20,3.108557252183892
28.0,4.9,Sunny,Low,2,scooter,0.0,0,Urban,19,1.5742615170912184
22.0,4.7,Windy,Medium,1,scooter,1.0,0,Urban,28,10.719986095820342
32.0,4.6,Cloudy,Low,1,motorcycle,1.0,0,Metropolitian,16,1.5315062215285238
31.0,5.0,Sunny,Jam,0,motorcycle,0.0,0,Metropolitian,36,10.73645559083321
30.0,4.8,Sunny,Medium,2,electric_scooter,1.0,0,Metropolitian,23,7.771125251215293
26.0,4.6,Fog,Medium,1,scooter,1.0,0,Metropolitian,25,10.598449646659263
32.0,4.2,Cloudy,Jam,1,scooter,0.0,0,Metropolitian,40,19.89927950932233
22.0,5.0,Windy,Low,1,motorcycle,1.0,0,Metropolitian,19,10.600540871291209
23.0,4.5,Sunny,Medium,1,scooter,0.0,0,Urban,11,12.448918986721267
30.0,5.0,Stormy,Low,2,scooter,1.0,0,Metropolitian,20,12.30767432875237
27.0,5.0,Fog,Low,1,scooter,1.0,0,Metropolitian,13,4.679309170061924
27.0,4.8,Fog,Jam,0,motorcycle,1.0,0,Metropolitian,41,12.084916029114302
38.0,4.0,Cloudy,Low,0,motorcycle,1.0,0,Metropolitian,41,12.371669477851148
37.0,4.6,Sunny,Jam,1,scooter,1.0,0,Metropolitian,22,9.325016005497655
30.0,4.9,Fog,Low,2,scooter,0.0,0,Metropolitian,30,19.680973843672643
22.0,5.0,Sandstorms,Low,1,motorcycle,0.0,0,Metropolitian,17,9.230447448103671
34.0,5.0,Sandstorms,Jam,0,motorcycle,2.0,0,Metropolitian,39,16.655023859158185
33.0,4.7,Cloudy,Low,0,motorcycle,1.0,0,Metropolitian,25,1.48975733632456
25.0,4.7,Fog,Low,2,scooter,1.0,0,Metropolitian,14,1.5598517841135304
36.0,4.8,Fog,Medium,1,motorcycle,1.0,0,Urban,35,16.738968074688987
35.0,4.3,Cloudy,Jam,0,motorcycle,1.0,0,Metropolitian,33,9.131896545482466
29.0,5.0,Fog,Medium,2,scooter,0.0,0,Urban,12,6.088070912912418
24.0,4.5,Stormy,Low,2,motorcycle,0.0,0,Metropolitian,13,1.5164580685951232
21.0,5.0,Fog,Medium,1,motorcycle,1.0,0,Metropolitian,35,12.112545492294675
20.0,5.0,Cloudy,Jam,0,motorcycle,0.0,0,Metropolitian,42,17.095254926544197
21.0,4.5,Sandstorms,Low,0,motorcycle,0.0,0,Metropolitian,23,1.5311867180106185
22.0,4.5,Stormy,Low,0,motorcycle,1.0,0,Metropolitian,29,7.555004263550023
21.0,4.9,Sandstorms,Low,1,scooter,1.0,0,Semi-Urban,19,10.877402800645234
21.0,4.7,Stormy,Low,2,scooter,1.0,0,Metropolitian,13,3.0917695723068466
21.0,4.2,Fog,Medium,1,motorcycle,1.0,0,Metropolitian,31,20.87518982972641
37.0,4.5,Fog,Medium,2,scooter,1.0,0,Urban,17,5.965510704101033
21.0,4.7,Stormy,Jam,2,motorcycle,1.0,0,Metropolitian,23,12.4486678104528
29.566910587697237,4.6337736972250205,Windy,Low,1,motorcycle,1.0,0,Urban,21,3.0769203537038483
35.0,4.7,Fog,Jam,0,motorcycle,1.0,0,Metropolitian,47,10.91912413854982
20.0,4.8,Cloudy,Low,0,motorcycle,0.0,0,Urban,21,3.1086807309096365
31.0,4.9,Sandstorms,Jam,0,motorcycle,0.0,0,Urban,33,4.637392529582314
22.0,4.6,Sunny,Jam,2,scooter,1.0,0,Metropolitian,17,7.871307105908543
29.566910587697237,4.6337736972250205,Cloudy,High,2,scooter,1.0,0,Metropolitian,23,6.044162782607267
37.0,4.8,Fog,Low,1,scooter,0.0,0,Metropolitian,17,1.5384802865725298
27.0,4.9,Fog,Medium,1,scooter,0.0,0,Urban,18,7.691144999157291
29.566910587697237,4.6337736972250205,Stormy,Jam,2,scooter,0.0,0,Urban,34,9.085395001171092
31.0,4.8,Sandstorms,Jam,1,motorcycle,0.0,0,Metropolitian,30,4.600442916335203
22.0,4.9,Sunny,Low,1,scooter,0.0,0,Metropolitian,18,4.565972449911546
25.0,5.0,Fog,Low,0,motorcycle,1.0,0,Urban,23,10.88020438966087
26.0,4.9,Cloudy,Medium,1,motorcycle,0.0,0,Metropolitian,16,4.615100780289038
20.0,4.7,Sandstorms,Low,2,electric_scooter,0.0,0,Urban,17,1.5314040360553722
27.0,4.1,Cloudy,Medium,1,motorcycle,0.0,0,Metropolitian,31,12.250168454978382
36.0,4.0,Stormy,Low,0,motorcycle,0.0,0,Semi-Urban,23,1.5597957753766611
29.0,4.6,Windy,Medium,0,motorcycle,1.0,0,Metropolitian,17,4.601682492912133
33.0,4.9,Fog,Low,1,scooter,1.0,0,Metropolitian,17,7.610226623454479
32.0,4.3,Cloudy,Jam,1,scooter,0.0,0,Metropolitian,33,8.948453430996942
27.0,4.5,Cloudy,Jam,0,motorcycle,1.0,0,Metropolitian,46,16.870391559928155
38.0,4.8,Cloudy,Low,0,motorcycle,1.0,0,Metropolitian,40,14.168350776534814
34.0,4.8,Fog,Jam,0,motorcycle,1.0,0,Metropolitian,40,12.43064676011004
29.0,4.7,Sunny,Jam,1,motorcycle,0.0,0,Metropolitian,19,13.90936161759512
28.0,4.9,Sunny,High,2,motorcycle,0.0,0,Urban,12,6.2489464105394505
32.0,4.3,Stormy,Jam,0,motorcycle,0.0,0,Urban,39,12.432124867972547
22.0,4.7,Sunny,Low,0,motorcycle,0.0,0,Metropolitian,10,4.663117462999581
37.0,4.9,Sunny,Low,2,electric_scooter,1.0,0,Metropolitian,29,11.929850541261894
29.0,4.6,Cloudy,Low,0,motorcycle,0.0,0,Metropolitian,22,3.06228547386522
39.0,4.6,Sandstorms,Medium,1,motorcycle,1.0,0,Metropolitian,30,17.316871412977665
36.0,3.8,Windy,Jam,2,scooter,1.0,0,Metropolitian,37,11.930222390312624
37.0,4.7,Cloudy,Low,2,scooter,0.7446345675136238,0,Urban,15,7.871307105908543
32.0,4.8,Sunny,Jam,0,motorcycle,1.0,0,Metropolitian,29,4.722784455364153
34.0,4.1,Stormy,Medium,2,motorcycle,2.0,0,Urban,34,13.804781791840078
24.0,4.5,Cloudy,Low,0,motorcycle,0.0,0,Metropolitian,21,10.717230883074382
33.0,4.6,Fog,Jam,0,motorcycle,1.0,0,Urban,29,4.661979603106139
35.0,3.9,Windy,Jam,1,motorcycle,2.0,0,Metropolitian,38,12.250006199856072
31.0,4.8,Stormy,Low,1,scooter,0.0,0,Metropolitian,28,20.27577124735491
39.0,4.5,Windy,Medium,2,scooter,1.0,0,Metropolitian,27,4.679469612298026
21.0,4.9,Sunny,Jam,1,motorcycle,1.0,0,Urban,18,14.00484433391351
30.0,4.4,Stormy,Medium,1,scooter,2.0,0,Metropolitian,39,17.316871412977665
36.0,4.6,Cloudy,Jam,0,motorcycle,1.0,0,Metropolitian,25,7.55509242675452
30.0,4.8,Windy,Low,2,scooter,0.0,0,Metropolitian,23,9.27482790338788
27.0,5.0,Windy,Medium,0,motorcycle,0.0,0,Metropolitian,39,13.779100100046666
22.0,5.0,Windy,Jam,0,motorcycle,1.0,0,Metropolitian,35,9.325097193829128
30.0,4.4,Stormy,High,2,scooter,1.0,0,Metropolitian,32,5.966894311954944
31.0,4.7,Cloudy,High,2,motorcycle,1.0,0,Urban,27,1.5543872894858566
27.0,4.9,Windy,Medium,2,electric_scooter,1.0,0,Metropolitian,24,10.653273466452386
37.0,4.8,Sandstorms,Low,1,scooter,0.0,0,Metropolitian,22,4.474262095780389
30.0,4.9,Sunny,Jam,2,motorcycle,0.0,0,Metropolitian,29,20.198877751936003
35.0,4.2,Cloudy,Medium,2,electric_scooter,1.0,0,Metropolitian,33,16.67828392484174
20.0,4.5,Cloudy,Low,0,motorcycle,0.0,0,Metropolitian,21,9.131896717873316
28.0,5.0,Fog,Medium,0,motorcycle,1.0,0,Metropolitian,41,16.40232628567274
36.0,5.0,Windy,Medium,2,scooter,1.0,0,Metropolitian,34,4.532891964935462
27.0,4.5,Fog,Low,1,motorcycle,0.0,0,Metropolitian,15,1.5562074652510542
23.0,4.7,Fog,Jam,2,motorcycle,0.0,0,Semi-Urban,22,9.167734840003828
24.0,4.6,Sunny,Low,2,scooter,1.0,0,Metropolitian,28,12.087662009546207
31.0,4.7,Sunny,Medium,0,motorcycle,1.0,0,Urban,23,6.153846742330389
27.0,4.5,Windy,Low,2,scooter,1.0,0,Urban,11,1.533709303563117
22.0,4.7,Stormy,Medium,2,electric_scooter,1.0,0,Metropolitian,22,12.250006199856072
28.0,5.0,Stormy,Jam,0,motorcycle,1.0,0,Metropolitian,32,17.096763187001123
39.0,4.7,Sunny,Medium,1,motorcycle,1.0,0,Metropolitian,15,16.871205502419162
